字段名（英文）,字段名（中文）,完整描述,提取提示,层级,标签,重点字段,聚类ID,聚类名称,聚类名称（英文）
catalyst_ligand,催化剂配体,"The organic molecule that coordinates to the catalytic metal, modulating its activity and selectivity. Only applicable for catalyzed reactions. Examples: SPhos, Xantphos, N-Heterocyclic Carbenes (NHCs).","Detailed in the experimental section or in ligand screening tables. The choice of ligand is often a key optimization variable. If no ligand is used, this field is not applicable.",Level 2,[Core],否,,,
zinc_source_and_activation,锌源及活化方法,"The physical form of the zinc (e.g., dust, powder, foil) and the method used to activate its surface, which is crucial for reactivity in direct insertion methods. This is a sub-detail of the preparation method.","Found in the reagent preparation procedure. Look for descriptions like 'zinc dust activated with 1,2-dibromoethane', 'Rieke zinc', or 'acid-washed zinc foil'.",Level 2,[Expansion],否,,,
reagent_characterization_method,试剂表征方法,The analytical method used to confirm the structure and/or determine the concentration (titer) of the prepared organozinc reagent. This is a measure of data quality and reproducibility.,Found in the reagent preparation section. Look for phrases like 'The concentration was determined by titration with I₂' or 'characterized by ¹H and ¹³C NMR spectroscopy'.,Level 2,[Expansion],否,,,
addition_method_and_rate,加料方式与速率,"The technique and speed at which a key component (often the organozinc reagent or electrophile) is added to the reaction mixture. This can control exotherms, local concentrations, and selectivity.","Look for procedural details in the experimental section, such as 'added dropwise over 30 min', 'added in one portion', or 'added via syringe pump at 0.1 mL/min'.",Level 2,[Expansion],否,,,
synthesis_scale,反应规模,"The scale of the specific reaction run, typically inferred from the amount of the limiting reagent used (e.g., in mmol or g). This provides context on the method's practicality.",Calculate or infer from the molar or mass quantities of starting materials listed in the experimental procedure for a specific example.,Level 2,[Niche],否,,,
reagent_organic_group,试剂有机基团(R),"The specific organic moiety (R group) attached to the zinc atom, specifying its type (e.g., alkyl, aryl, vinyl). This is a descriptive field, derived from the full reagent structure.","Derived from the 'organozinc_reagent_structure'. Useful for classifying reagents, e.g., 'neopentylzinc bromide' has a 'neopentyl' organic group.",Level 2,[Niche],否,,,
reagent_counterion,试剂抗衡离子(X),"The non-organic group or second organic group attached to the zinc atom (the 'X' in R-Zn-X or R₂Zn). This significantly influences the reagent's properties. Examples: Cl, Br, I, CN, or another R group.","Derived from the 'organozinc_reagent_structure'. Often specified when discussing the reagent type, e.g., 'organozinc chloride' vs 'diorganozinc'.",Level 2,[Niche],否,,,
yield,产率,"The percentage of the desired product obtained, a primary metric for 'reactivity' and overall reaction efficiency. Must be recorded along with its 'yield_type'.","This is a key result, found in results tables, reaction schemes, and the experimental section. Always look for a qualifier like 'isolated', 'NMR', or 'GC' yield.",Level 3,[Core],是,,,
yield_type,产率类型,"A mandatory qualifier for the 'yield' value, specifying how it was determined. Essential for data comparison. Examples: 'Isolated Yield', 'NMR Yield', 'GC/LC Yield'.","Usually found alongside the yield value in tables or the experimental section, e.g., 'yield of 95% (isolated)'. If not specified, it is ambiguous and should be noted as such.",Level 3,[Core],否,,,
conversion,转化率,"The percentage of the limiting starting material that has been consumed. It is a direct measure of reactivity, distinct from yield (which accounts for side products).","Often reported in optimization tables or kinetic studies, especially when yield is not easily determined. Usually measured by GC or NMR analysis of the crude reaction mixture.",Level 3,[Core],否,,,
reaction_time,反应时间,The duration of the reaction until it was quenched or deemed complete. Shorter times for high yields indicate higher reactivity (a faster reaction rate).,Found in the experimental section and in tables summarizing reaction conditions. It is a common variable in optimization studies.,Level 3,[Core],是,,,
thermal_stability,热稳定性,A qualitative or quantitative measure of the reagent's resistance to decomposition at elevated temperatures. This is a direct measure of stability.,"Look in the 'Results and Discussion' section for specific experiments measuring stability. Extract data like decomposition temperature (TGA), half-life at a specific temperature, or descriptive statements like 'stable at 80°C for 4h'.",Level 3,[Core],是,,,
solution_stability,溶液稳定性,"The stability of the organozinc reagent in a specific solvent over time at a certain temperature (i.e., 'shelf-life'). This is a key practical measure of stability.","Found in the 'Results and Discussion' section, often with graphs or tables showing reagent concentration vs. storage time. Extract data like '% activity remaining after X days at RT'.",Level 3,[Core],是,,,
functional_group_tolerance,官能团耐受性,"An assessment of which functional groups (e.g., esters, ketones, nitriles) are compatible with the organozinc reagent under the reaction conditions. This is a key measure of a reagent's chemostability and utility.",Synthesize this information from the 'Substrate Scope' section. List the functional groups present on substrates that gave good yields (Tolerated) versus those that gave poor yields or decomposed (Not Tolerated).,Level 3,[Core],是,,,
selectivity,选择性,"A general measure of the reaction's preference for one outcome over others. This is a parent category for chemoselectivity, regioselectivity (isomer ratios), and stereoselectivity (dr, ee).","Look for discussions of isomer ratios, or specific metrics like 'ee' and 'dr' in results tables. Note the type of selectivity being discussed.",Level 3,[Core],否,,,
enantiomeric_excess,对映体过量(ee),"A specific measure of stereoselectivity in asymmetric reactions, reported as 'ee %'. A critical performance metric for creating chiral molecules.",Look for 'ee' values in results tables or characterization data for chiral products. Often determined by chiral HPLC or GC analysis. Only applicable to asymmetric reactions.,Level 3,[Niche],否,,,
diastereomeric_ratio,非对映异构体比例(dr),"A specific measure of stereoselectivity, reported as a ratio ('dr'). It quantifies the preference for the formation of one diastereomer over another.",Look for 'dr' values in results tables or the discussion. Typically determined by ¹H NMR analysis of the crude reaction mixture.,Level 3,[Niche],否,,,
workup_and_purification_method,后处理与纯化方法,"The procedure used to quench the reaction, isolate the crude product, and purify it. This context is vital for interpreting isolated yields and assessing scalability.","Detailed in the experimental section for each compound. Note key steps like 'quenched with sat. aq. NH₄Cl', 'extracted with EtOAc', and 'purified by flash column chromatography'.",Level 3,[Expansion],否,,,
reactivity_stability_tradeoff,活性-稳定性权衡,"A specific, high-level conclusion made by the author about the trade-off between the reactivity and stability of the organozinc reagent. This is a core insight for the user's task.","This is a key conclusion, often found in the 'Results and Discussion' or final 'Conclusion' section. Capture direct quotes or summaries, e.g., 'While reagent 3a was more reactive, its poor thermal stability limited its utility in large-scale synthesis.'",Level 4,[Core],是,,,
observed_trend_and_causality,观测趋势与因果关系,"A textual summary of the relationship between a change in a condition (Cause) and the resulting change in a performance metric (Effect), including the author's scientific explanation (Causality).","Found in the text of the 'Results and Discussion' where authors interpret data from optimization tables. Structure as: 'Varying [Cause] from A to B resulted in [Effect, e.g., increased yield], which the authors attribute to [Causality, e.g., breaking up zincate aggregates].'",Level 4,[Core],否,,,
structure_activity_relationship,构效关系(SAR),"The author's conclusion about how specific changes in the organozinc reagent's structure (e.g., steric bulk of R group, nature of X group) affect its reactivity or stability.",Found in the 'Results and Discussion' when comparing a series of different reagents. Example: 'Increasing the steric bulk of the R group (from methyl to t-butyl) decreased reactivity but enhanced thermal stability.',Level 4,[Niche],否,,,
optimization_variable,优化变量,"The specific parameter (e.g., Solvent, Temperature, Ligand) that was systematically varied by the authors to study its effect on the reaction outcome. This captures the 'cause' in a cause-effect relationship.","Identify this from optimization tables in the 'Results and Discussion' section. The column header of the parameter being changed (e.g., 'Solvent', 'Temp (°C)') is the optimization variable for that table.",Level 4,[Core],否,,,
